,robot index,width,depth,height,voxels,wheels,sensors,limbs,casters,norm,skeleton norm,components norm,replicate_index,replicate,environment,encoding,parent 1,parent 2,evaluation time,time,fitness
858,9804,0.727273,0.909091,0.363636,0.0773854,6.0,0.0,2.0,0.0,1.2844617952431128,1.2221260587350062,0.39528470752104744,9073,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,2162,-1,0.04397102277777778,7.839051403611111,0.140625
859,6329,0.636364,0.909091,0.272727,0.0706236,3.0,1.0,2.0,2.0,1.1751960671236779,1.1448900803932927,0.2651650429449553,5825,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_0-34-3-3723-1498892756,cracks,SQ_CPPN,1231,-1,0.04432330833333333,5.193192444722222,0.140625
860,6839,0.636364,0.909091,0.181818,0.0270473,6.0,0.0,2.0,0.0,1.1922436530920557,1.124808840798422,0.39528470752104744,6442,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,4523,-1,0.10074183333333334,6.579688473888889,0.226562
861,8934,0.727273,0.909091,0.181818,0.0450789,6.0,0.0,2.0,0.0,1.2436689089782738,1.1791786782159903,0.39528470752104744,8445,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,8060,-1,0.06154892972222222,8.316276936944444,0.199219
862,4523,0.636364,0.909091,0.181818,0.0270473,6.0,0.0,2.0,0.0,1.1922436530920557,1.124808840798422,0.39528470752104744,4247,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,2131,-1,0.07766898611111112,4.421997075833334,0.195312
863,10439,0.545455,0.909091,0.272727,0.0601052,5.0,0.0,2.0,0.0,1.1468397904249923,1.0963394797698567,0.3365728004459065,9834,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,7067,-1,0.09872353027777778,9.559985653611111,0.195312
864,2131,0.636364,0.909091,0.181818,0.0270473,6.0,0.0,2.0,0.0,1.1922436530920557,1.124808840798422,0.39528470752104744,1957,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,1960,-1,0.04238078638888889,2.161767044722222,0.195312
865,6863,0.545455,0.909091,0.272727,0.0631104,6.0,0.0,2.0,0.0,1.1655816326723583,1.0965083412465042,0.39528470752104744,6462,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,4644,-1,0.09701544194444445,6.622192212222222,0.195312
866,7575,0.545455,0.727273,0.0,0.0210368,6.0,0.0,2.0,0.0,0.9915340238782732,0.9093347681180127,0.39528470752104744,7142,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,2572,-1,0.04082956777777778,7.287371049722222,0.191406
867,5779,0.636364,0.909091,0.181818,0.0270473,6.0,0.0,2.0,0.0,1.1922436530920557,1.124808840798422,0.39528470752104744,5443,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,4659,-1,0.0428660275,5.469906385277778,0.191406
868,8869,0.545455,0.909091,0.0,0.0240421,6.0,1.0,0.0,0.0,1.1265331224062656,1.0604459561328008,0.3801726581436387,8380,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,2572,-1,0.040674651944444445,8.251841380833334,0.191406
869,4828,0.818182,0.909091,0.272727,0.0495868,6.0,0.0,2.0,0.0,1.3148981324301285,1.2540761933264821,0.39528470752104744,4531,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-0-48-8496-3144572751,cracks,SQ_CPPN,4614,-1,0.04521238722222222,4.7689588008333335,0.191406
870,4141,0.909091,0.545455,0.0,0.0240421,3.0,0.0,4.0,0.0,1.1055323947666165,1.0604459561328008,0.3125,3961,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-50-12-2340-397233552,cracks,SQ_CPPN,2334,-1,0.058621562777777775,3.5410061819444443,0.148438
871,8363,0.818182,0.909091,0.272727,0.0886551,3.0,0.0,2.0,3.0,1.2899788659857998,1.256227676295189,0.29315098498896436,8046,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-50-12-2340-397233552,cracks,SQ_CPPN,1798,-1,0.04456851055555556,7.488789391111111,0.148438
872,2453,0.818182,0.909091,0.272727,0.0593539,2.0,0.0,2.0,4.0,1.2913253398656785,1.2545003520841316,0.30618621784789724,2328,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-50-12-2340-397233552,cracks,SQ_CPPN,2303,-1,0.041119905,2.1136296580555554,0.140625
873,710,0.545455,0.545455,0.0,0.0180316,3.0,1.0,2.0,0.0,0.8062598542954746,0.7716005784397522,0.23385358667337133,635,/media/leni/DATADRIVE1/gecco_2026/meim_sq_cracks/meim_sq_cracks_20_0_10-50-12-2340-397233552,cracks,SQ_CPPN,580,-1,0.03924855083333333,0.6849936880555556,0.136719
